City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Kisangani,CD,69.42,broken clouds,0.5167,25.2,Grand Ramela Hotel
380,Winthrop,US,82.69,broken clouds,42.3751,-70.9828,Courtyard by Marriott Boston Logan Airport
381,Omboue,GA,71.37,overcast clouds,-1.5746,9.2618,Hotel Olako
383,Benguela,AO,69.48,clear sky,-12.5763,13.4055,Hotel Praia Morena
384,Oranjestad,AW,76.95,light rain,12.524,-70.027,Divi Village Golf & Beach Resort
388,Sinnamary,GF,73.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
389,Puro,PH,80.44,overcast clouds,12.4841,123.3827,
390,Kununurra,AU,67.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
391,Kavieng,PG,82.02,light rain,-2.5744,150.7967,Nusa Island Retreat
400,Visby,SE,65.82,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
401,Waingapu,ID,76.84,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
404,Swamimalai,IN,82.09,overcast clouds,10.95,79.3333,Paradise Resort
407,Rexburg,US,82.38,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
409,Namibe,AO,67.14,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
413,Dingle,PH,79.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
414,Soyo,AO,72.19,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
415,San Matias,BO,72.28,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
416,Sambava,MG,68.79,light rain,-14.2667,50.1667,Melrose
417,Vung Tau,VN,81.72,overcast clouds,10.346,107.0843,Seaside Resort
419,Whitehorse,CA,72.1,light intensity shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
420,Tambovka,RU,70.95,clear sky,50.0969,128.0489,Lyzhnaya Gorka
423,Jardim,BR,65.43,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
425,Lewistown,US,83.08,clear sky,40.5992,-77.5714,Quality Inn & Suites
427,Tigil,RU,68.97,clear sky,57.8,158.6667,Tigil'
428,Bouna,CI,75.47,overcast clouds,9.2667,-3.0,Hôtel lababa
430,Angoche,MZ,69.19,light rain,-16.2325,39.9086,Guest House HESADA
431,Buritis,BR,69.64,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
439,Paciran,ID,74.77,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
442,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
449,Port Moresby,PG,80.35,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
453,Gat,IL,75.81,clear sky,31.61,34.7642,OlusHome
454,Razole,IN,82.85,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
455,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
456,Fort Nelson,CA,81.73,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
457,Cocobeach,GA,76.42,overcast clouds,1.0002,9.5823,Hotel Esperance
458,Hojai,IN,73.96,broken clouds,26.0,92.8667,Luxury park hotel
459,Kavaratti,IN,82.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
460,Montrose,US,81.81,few clouds,38.4166,-108.2673,
462,Dong Hoi,VN,82.54,moderate rain,17.4833,106.6,Nam Long Hotel
463,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
464,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
465,Miranda,CO,71.78,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
466,Abrego,CO,65.77,overcast clouds,8.0807,-73.2205,Hotel Catatumbo
467,Westport,US,80.94,clear sky,41.1415,-73.3579,The Westport Inn
468,Umm Lajj,SA,83.43,broken clouds,25.0213,37.2685,Moon light Furnished Units
469,Mouila,GA,72.77,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
473,Aksu,CN,79.07,few clouds,41.1231,80.2644,Pudong Holiday Hotel
474,Sioux Lookout,CA,65.8,moderate rain,50.1001,-91.917,Knobby's Fly-In Camps
476,San Quintin,MX,76.21,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
477,Cartagena Del Chaira,CO,74.07,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
478,Porto Novo,BJ,76.86,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
481,Bela,IN,79.5,overcast clouds,25.9333,81.9833,Raj Bhawan
485,Topchanchi,IN,78.28,overcast clouds,23.9,86.2,Shaan-E-Punjab Hotel - Restaurant | Hotel in Topchachi Dhanbad
487,Bani Walid,LY,84.22,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
488,Kota Belud,MY,78.31,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
490,Bom Jesus,BR,74.01,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
492,Petropavlovka,RU,66.51,broken clouds,50.6114,105.3196,Tuyaa
493,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
494,Majene,ID,77.95,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
495,Meiktila,MM,77.65,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
497,Hovd,MN,67.41,scattered clouds,48.0056,91.6419,Hotel Khovd
500,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
501,Carutapera,BR,76.41,few clouds,-1.195,-46.02,Lidera
502,Palauig,PH,80.42,moderate rain,15.435,119.9045,Villa Raphael Resort
503,Buala,SB,84.13,light rain,-8.145,159.5921,Maringe Lagoon Lodge
506,Chai Badan,TH,79.36,overcast clouds,15.2,101.1333,Narai Grand Hotel
508,Mandalgovi,MN,70.09,broken clouds,45.7625,106.2708,В.Ганбат
509,Cadillac,US,77.79,clear sky,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
511,Maebaru,JP,83.88,few clouds,33.55,130.2,Guest house Kotonoha
514,Buenaventura,CO,77.29,broken clouds,3.8801,-77.0312,Hotel Victoria
523,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
525,Roma,US,73.72,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
