City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
180,Berlevag,NO,70.8578,29.0864,71.4,82,20,24.16,few clouds,2022-06-29 23:06:09
181,Uhlove,UA,44.8215,33.6045,67.01,75,1,5.61,clear sky,2022-06-29 23:06:09
182,Zyryanka,RU,65.75,150.85,55.96,55,57,10.13,broken clouds,2022-06-29 23:06:11
183,Merauke,ID,-8.4667,140.3333,78.73,86,23,8.86,few clouds,2022-06-29 23:07:12
184,Flinders,AU,-34.5833,150.8552,56.05,74,100,3.0,overcast clouds,2022-06-29 23:07:12
185,Nome,US,64.5011,-165.4064,57.11,82,100,9.22,overcast clouds,2022-06-29 23:07:13
186,Meulaboh,ID,4.1363,96.1285,74.39,82,100,3.47,light rain,2022-06-29 23:07:14
187,Provideniya,RU,64.3833,-173.3,48.36,87,20,8.99,fog,2022-06-29 23:07:14
188,Manggar,ID,-2.8833,108.2667,79.02,79,98,8.95,overcast clouds,2022-06-29 23:07:15
189,Sabana De Torres,CO,7.3915,-73.4957,81.21,82,43,2.73,scattered clouds,2022-06-29 23:07:15
190,Albany,US,42.6001,-73.9662,75.06,50,90,4.74,overcast clouds,2022-06-29 23:02:52
191,Saskylakh,RU,71.9167,114.0833,51.87,44,28,8.1,scattered clouds,2022-06-29 23:07:16
192,Pljevlja,ME,43.3333,19.3333,63.54,84,76,3.74,broken clouds,2022-06-29 23:07:16
193,Pestravka,RU,52.405,49.9583,51.39,80,76,5.57,broken clouds,2022-06-29 23:07:17
194,Shahr-E Babak,IR,30.1165,55.1186,79.84,10,20,16.35,few clouds,2022-06-29 23:07:17
195,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,52,0,2.24,clear sky,2022-06-29 23:02:56
196,Paka,MY,4.6374,103.4368,77.61,89,99,4.94,overcast clouds,2022-06-29 23:07:18
197,Nabire,ID,-3.3667,135.4833,78.69,80,16,1.95,few clouds,2022-06-29 23:07:18
198,Sokoni,TZ,-6.4333,39.55,76.75,70,14,17.58,few clouds,2022-06-29 23:07:19
